_time,EventCode,host,actor,logon_type,src_host,target_account,process,cmdline,object_name
2026-05-24 10:15:33,5140,SRV-FILE-HQ,m.tal,3,WKS-HQ-18,,,,\\SRV-FILE-HQ\HR
2026-05-24 10:16:17,4769,SRV-DC-01,v.harel,,WKS-HQ-24,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 10:28:15,4769,SRV-DC-01,m.saban,,WKS-IT-09,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 10:30:10,4624,SRV-DC-01,d.levi,3,WKS-SEC-10,,,,
2026-05-24 10:30:12,5140,SRV-DC-01,d.levi,3,WKS-SEC-10,,,,\\SRV-DC-01\IT
2026-05-24 10:39:37,4624,SRV-FILE-HQ,l.beit,3,WKS-HQ-13,,,,
2026-05-24 10:51:10,4769,SRV-DC-01,d.levi,,WKS-SEC-10,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 10:52:37,4624,SRV-FILE-HQ,a.dahan,3,WKS-HQ-17,,,,
2026-05-24 10:52:48,4769,SRV-DC-01,e.katz,,WKS-SEC-03,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 11:00:37,4624,SRV-FILE-HQ,a.dahan,3,WKS-HQ-17,,,,
2026-05-24 11:26:37,4624,SRV-FILE-HQ,a.dahan,3,WKS-HQ-17,,,,
2026-05-24 11:27:39,4624,SRV-FILE-HQ,r.stern,3,WKS-PAY-02,,,,
2026-05-24 11:27:41,5140,SRV-FILE-HQ,r.stern,3,WKS-PAY-02,,,,\\SRV-FILE-HQ\Payments
2026-05-24 11:28:47,4769,SRV-DC-01,s.arbel,,WKS-PAY-11,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 11:30:37,4688,WKS-HQ-13,l.beit,,,,excel.exe,excel.exe /dde,
2026-05-24 11:40:31,4769,SRV-DC-01,p.stein,,WKS-HQ-26,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 11:45:17,4624,SRV-FILE-HQ,v.harel,3,WKS-HQ-24,,,,
2026-05-24 11:46:32,4624,SRV-FILE-HQ,t.hadar,3,WKS-PAY-12,,,,
2026-05-24 11:46:34,5140,SRV-FILE-HQ,t.hadar,3,WKS-PAY-12,,,,\\SRV-FILE-HQ\Payments
2026-05-24 11:52:10,4769,SRV-DC-01,k.oz,,WKS-HQ-20,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-24 11:55:26,4624,SRV-DC-01,a.mizrahi,3,WKS-IT-01,,,,
2026-05-24 11:55:28,5140,SRV-DC-01,a.mizrahi,3,WKS-IT-01,,,,\\SRV-DC-01\IT
2026-05-24 11:57:48,4769,SRV-DC-01,s.mor,,WKS-HQ-23,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-24 11:59:15,4624,SRV-FILE-HQ,m.saban,3,WKS-IT-09,,,,
2026-05-24 12:04:17,4624,SRV-FILE-HQ,v.harel,3,WKS-HQ-24,,,,
2026-05-24 12:05:32,4624,SRV-CARDPROC,t.hadar,3,WKS-PAY-12,,,,
2026-05-24 12:10:29,4624,SRV-FILE-HQ,h.peretz,3,WKS-IT-08,,,,
2026-05-24 12:10:31,5140,SRV-FILE-HQ,h.peretz,3,WKS-IT-08,,,,\\SRV-FILE-HQ\IT
2026-05-24 12:11:17,4624,SRV-FILE-HQ,c.barak,3,WKS-HQ-27,,,,
2026-05-24 12:11:19,5140,SRV-FILE-HQ,c.barak,3,WKS-HQ-27,,,,\\SRV-FILE-HQ\Marketing
2026-05-24 12:28:49,4688,WKS-PAY-30,g.ben-ari,,,,winword.exe,winword.exe /w,
2026-05-24 12:31:57,4688,WKS-HQ-15,n.hazan,,,,winword.exe,winword.exe /w,
2026-05-24 12:34:48,4624,SRV-DC-01,e.katz,3,WKS-SEC-03,,,,
2026-05-24 12:43:19,4769,SRV-DC-01,u.regev,,WKS-HQ-28,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 12:49:05,4688,WKS-HQ-21,b.naim,,,,teams.exe,teams.exe --system-initiated,
2026-05-24 12:55:31,4769,SRV-DC-01,m.tal,,WKS-HQ-18,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 12:56:19,4769,SRV-DC-01,u.regev,,WKS-HQ-28,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 13:13:17,4769,SRV-DC-01,y.oren,,WKS-HQ-05,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 13:19:31,4624,SRV-FILE-HQ,m.tal,3,WKS-HQ-18,,,,
2026-05-24 13:30:17,4624,SRV-POSMGT,v.harel,3,WKS-HQ-24,,,,
2026-05-24 13:30:19,5140,SRV-POSMGT,v.harel,3,WKS-HQ-24,,,,\\SRV-POSMGT\Branches
2026-05-24 13:39:32,4624,SRV-FILE-HQ,r.avni,3,WKS-HQ-14,,,,
2026-05-24 13:40:31,4624,SRV-FILE-HQ,p.stein,3,WKS-HQ-26,,,,
2026-05-24 13:40:33,5140,SRV-FILE-HQ,p.stein,3,WKS-HQ-26,,,,\\SRV-FILE-HQ\Branches
2026-05-24 13:41:17,4769,SRV-DC-01,c.barak,,WKS-HQ-27,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 13:54:47,4624,SRV-CARDPROC,s.arbel,3,WKS-PAY-11,,,,
2026-05-24 13:54:49,5140,SRV-CARDPROC,s.arbel,3,WKS-PAY-11,,,,\\SRV-CARDPROC\Payments
2026-05-24 14:02:10,4769,SRV-DC-01,k.oz,,WKS-HQ-20,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 14:09:29,4769,SRV-DC-01,h.peretz,,WKS-IT-08,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 14:13:33,4624,SRV-FILE-HQ,g.shemesh,3,WKS-HQ-06,,,,
2026-05-24 14:13:35,5140,SRV-FILE-HQ,g.shemesh,3,WKS-HQ-06,,,,\\SRV-FILE-HQ\Finance
2026-05-24 14:17:57,4769,SRV-DC-01,n.hazan,,WKS-HQ-15,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 14:18:17,4624,SRV-FILE-HQ,c.barak,3,WKS-HQ-27,,,,
2026-05-24 14:25:32,4624,SRV-FILE-HQ,r.avni,3,WKS-HQ-14,,,,
2026-05-24 14:30:31,4769,SRV-DC-01,p.stein,,WKS-HQ-26,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 14:33:37,4769,SRV-DC-01,a.dahan,,WKS-HQ-17,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 14:37:31,4769,SRV-DC-01,m.tal,,WKS-HQ-18,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-24 14:40:17,4769,SRV-DC-01,v.harel,,WKS-HQ-24,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-24 14:46:15,4769,SRV-DC-01,m.saban,,WKS-IT-09,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 14:53:29,4624,SRV-DC-01,h.peretz,3,WKS-IT-08,,,,
2026-05-24 14:53:31,5140,SRV-DC-01,h.peretz,3,WKS-IT-08,,,,\\SRV-DC-01\IT
2026-05-24 14:55:03,4624,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,
2026-05-24 14:55:15,4624,SRV-FILE-HQ,m.saban,3,WKS-IT-09,,,,
2026-05-24 14:55:17,5140,SRV-FILE-HQ,m.saban,3,WKS-IT-09,,,,\\SRV-FILE-HQ\IT
2026-05-24 14:56:01,4624,SRV-FILE-HQ,i.golan,3,WKS-HQ-22,,,,
2026-05-24 14:56:03,5140,SRV-FILE-HQ,i.golan,3,WKS-HQ-22,,,,\\SRV-FILE-HQ\Branches
2026-05-24 15:03:33,4769,SRV-DC-01,g.shemesh,,WKS-HQ-06,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 15:04:47,4624,SRV-CARDPROC,s.arbel,3,WKS-PAY-11,,,,
2026-05-24 15:06:03,4769,SRV-DC-01,n.barzilai,,WKS-HQ-04,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 15:18:17,4624,SRV-FILE-HQ,y.oren,3,WKS-HQ-05,,,,
2026-05-24 15:20:37,4769,SRV-DC-01,l.beit,,WKS-HQ-13,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 15:22:05,4769,SRV-DC-01,b.naim,,WKS-HQ-21,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 15:31:57,4624,SRV-FILE-HQ,n.hazan,3,WKS-HQ-15,,,,
2026-05-24 15:31:59,5140,SRV-FILE-HQ,n.hazan,3,WKS-HQ-15,,,,\\SRV-FILE-HQ\Finance
2026-05-24 15:32:17,4688,WKS-HQ-24,v.harel,,,,teams.exe,teams.exe --system-initiated,
2026-05-24 15:37:19,4769,SRV-DC-01,u.regev,,WKS-HQ-28,mssqlsvc_svc,,,MSSQLSvc/srv-cardproc.northgate.local:1433
2026-05-24 15:39:15,4688,WKS-IT-09,m.saban,,,,outlook.exe,outlook.exe /recycle,
2026-05-24 15:46:26,4624,SRV-DC-01,a.mizrahi,3,WKS-IT-01,,,,
2026-05-24 15:46:28,5140,SRV-DC-01,a.mizrahi,3,WKS-IT-01,,,,\\SRV-DC-01\IT
2026-05-24 15:47:39,4624,SRV-FILE-HQ,r.stern,3,WKS-PAY-02,,,,
2026-05-24 15:47:41,5140,SRV-FILE-HQ,r.stern,3,WKS-PAY-02,,,,\\SRV-FILE-HQ\Payments
2026-05-24 15:56:28,4634,WKS-HQ-25,z.amar,2,,,,,
2026-05-24 15:57:29,4688,WKS-IT-08,h.peretz,,,,outlook.exe,outlook.exe /recycle,
2026-05-24 15:58:01,4634,WKS-HQ-23,s.mor,2,,,,,
2026-05-24 15:58:35,4769,SRV-DC-01,f.zohar,,WKS-IT-29,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-24 16:01:05,4624,SRV-FILE-HQ,b.naim,3,WKS-HQ-21,,,,
2026-05-24 16:01:07,5140,SRV-FILE-HQ,b.naim,3,WKS-HQ-21,,,,\\SRV-FILE-HQ\Logistics
2026-05-24 16:06:39,4624,SRV-CARDPROC,r.stern,3,WKS-PAY-02,,,,
2026-05-24 16:07:10,4769,SRV-DC-01,d.levi,,WKS-SEC-10,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 16:10:18,4634,WKS-PAY-11,s.arbel,2,,,,,
2026-05-24 16:14:32,4769,SRV-DC-01,r.avni,,WKS-HQ-14,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 16:24:45,4634,WKS-SEC-03,e.katz,2,,,,,
2026-05-24 16:26:04,4634,WKS-HQ-19,y.segev,2,,,,,
2026-05-24 16:30:10,4624,SRV-FILE-HQ,d.levi,3,WKS-SEC-10,,,,
2026-05-24 16:31:51,4634,WKS-HQ-18,m.tal,2,,,,,
2026-05-24 16:40:34,4634,WKS-IT-08,h.peretz,2,,,,,
2026-05-24 16:42:18,4634,WKS-IT-01,a.mizrahi,2,,,,,
2026-05-24 16:44:35,4624,SRV-FILE-HQ,f.zohar,3,WKS-IT-29,,,,
2026-05-24 16:46:35,4624,SRV-FILE-HQ,f.zohar,3,WKS-IT-29,,,,
2026-05-24 16:48:29,4634,WKS-HQ-16,e.shalom,2,,,,,
2026-05-24 16:50:40,4634,WKS-HQ-20,k.oz,2,,,,,
2026-05-24 16:52:52,4634,WKS-HQ-15,n.hazan,2,,,,,
2026-05-24 17:09:12,4634,WKS-PAY-30,g.ben-ari,2,,,,,
2026-05-24 17:11:37,4624,SRV-FILE-HQ,l.beit,3,WKS-HQ-13,,,,
2026-05-24 17:12:23,4634,WKS-HQ-13,l.beit,2,,,,,
2026-05-24 17:15:33,4769,SRV-DC-01,g.shemesh,,WKS-HQ-06,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-24 17:17:15,4624,SRV-DC-01,m.saban,3,WKS-IT-09,,,,
2026-05-24 17:17:17,5140,SRV-DC-01,m.saban,3,WKS-IT-09,,,,\\SRV-DC-01\IT
2026-05-24 17:17:28,4634,WKS-HQ-22,i.golan,2,,,,,
2026-05-24 17:18:06,4634,WKS-HQ-05,y.oren,2,,,,,
2026-05-24 17:25:00,4634,WKS-SEC-10,d.levi,2,,,,,
2026-05-24 17:28:53,4634,WKS-PAY-12,t.hadar,2,,,,,
2026-05-24 17:30:59,4634,WKS-HQ-24,v.harel,2,,,,,
2026-05-24 17:31:57,4634,WKS-HQ-04,n.barzilai,2,,,,,
2026-05-24 17:48:40,4634,WKS-IT-09,m.saban,2,,,,,
2026-05-24 17:57:13,4634,WKS-HQ-26,p.stein,2,,,,,
2026-05-24 17:59:07,4634,WKS-HQ-14,r.avni,2,,,,,
2026-05-24 18:02:12,4634,WKS-IT-29,f.zohar,2,,,,,
2026-05-24 18:11:17,4634,WKS-PAY-02,r.stern,2,,,,,
2026-05-24 18:30:21,4634,WKS-HQ-28,u.regev,2,,,,,
2026-05-24 18:30:53,4634,WKS-HQ-06,g.shemesh,2,,,,,
2026-05-24 18:45:33,4634,WKS-HQ-21,b.naim,2,,,,,
2026-05-24 18:48:57,4634,WKS-HQ-17,a.dahan,2,,,,,
2026-05-24 18:57:50,4634,WKS-HQ-27,c.barak,2,,,,,
2026-05-25 06:52:48,4625,WKS-HQ-25,z.amar,2,WKS-HQ-25,,,,
2026-05-25 06:54:51,4624,WKS-HQ-25,z.amar,2,WKS-HQ-25,,,,
2026-05-25 07:30:39,4624,WKS-PAY-02,r.stern,2,WKS-PAY-02,,,,
2026-05-25 07:41:49,4624,WKS-HQ-22,i.golan,2,WKS-HQ-22,,,,
2026-05-25 07:52:02,4624,WKS-HQ-26,p.stein,2,WKS-HQ-26,,,,
2026-05-25 07:53:32,4624,WKS-HQ-23,s.mor,2,WKS-HQ-23,,,,
2026-05-25 07:54:04,4625,WKS-SEC-03,e.katz,2,WKS-SEC-03,,,,
2026-05-25 07:55:51,4769,SRV-DC-01,z.amar,,WKS-HQ-25,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-25 07:57:20,4624,WKS-SEC-03,e.katz,2,WKS-SEC-03,,,,
2026-05-25 07:57:55,4624,WKS-PAY-30,g.ben-ari,2,WKS-PAY-30,,,,
2026-05-25 08:06:47,4624,WKS-IT-01,a.mizrahi,2,WKS-IT-01,,,,
2026-05-25 08:06:48,4672,WKS-IT-01,a.mizrahi,2,,,,,
2026-05-25 08:07:08,4624,WKS-HQ-28,u.regev,2,WKS-HQ-28,,,,
2026-05-25 08:08:23,4624,WKS-HQ-13,l.beit,2,WKS-HQ-13,,,,
2026-05-25 08:11:02,4624,WKS-HQ-24,v.harel,2,WKS-HQ-24,,,,
2026-05-25 08:20:51,4625,WKS-HQ-05,y.oren,2,WKS-HQ-05,,,,
2026-05-25 08:24:17,4624,WKS-HQ-05,y.oren,2,WKS-HQ-05,,,,
2026-05-25 08:26:43,4624,WKS-HQ-14,r.avni,2,WKS-HQ-14,,,,
2026-05-25 08:27:19,4624,WKS-PAY-11,s.arbel,2,WKS-PAY-11,,,,
2026-05-25 08:27:40,4624,WKS-HQ-21,b.naim,2,WKS-HQ-21,,,,
2026-05-25 08:33:55,4624,WKS-HQ-27,c.barak,2,WKS-HQ-27,,,,
2026-05-25 08:36:08,4624,SRV-FILE-HQ,u.regev,3,WKS-HQ-28,,,,
2026-05-25 08:37:15,4624,WKS-HQ-16,e.shalom,2,WKS-HQ-16,,,,
2026-05-25 08:38:25,4624,WKS-IT-09,m.saban,2,WKS-IT-09,,,,
2026-05-25 08:38:55,4624,SRV-CARDPROC,g.ben-ari,3,WKS-PAY-30,,,,
2026-05-25 08:40:57,4624,WKS-HQ-19,y.segev,2,WKS-HQ-19,,,,
2026-05-25 08:42:13,4624,WKS-HQ-20,k.oz,2,WKS-HQ-20,,,,
2026-05-25 08:42:17,4624,WKS-SEC-10,d.levi,2,WKS-SEC-10,,,,
2026-05-25 08:43:49,4624,SRV-FILE-HQ,i.golan,3,WKS-HQ-22,,,,
2026-05-25 08:46:55,4769,SRV-DC-01,c.barak,,WKS-HQ-27,cifs_svc,,,CIFS/srv-file-hq.northgate.local
2026-05-25 08:46:57,4624,SRV-FILE-HQ,y.segev,3,WKS-HQ-19,,,,
2026-05-25 08:46:59,5140,SRV-FILE-HQ,y.segev,3,WKS-HQ-19,,,,\\SRV-FILE-HQ\Logistics
2026-05-25 08:50:13,4769,SRV-DC-01,k.oz,,WKS-HQ-20,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-25 08:55:49,4624,WKS-PAY-12,t.hadar,2,WKS-PAY-12,,,,
2026-05-25 08:59:13,4624,SRV-FILE-HQ,k.oz,3,WKS-HQ-20,,,,
2026-05-25 08:59:18,4625,WKS-IT-29,f.zohar,2,WKS-IT-29,,,,
2026-05-25 09:00:29,4624,WKS-IT-29,f.zohar,2,WKS-IT-29,,,,
2026-05-25 09:00:31,4624,WKS-HQ-04,n.barzilai,2,WKS-HQ-04,,,,
2026-05-25 09:02:51,4624,SRV-POSMGT,z.amar,3,WKS-HQ-25,,,,
2026-05-25 09:03:17,4769,SRV-DC-01,y.oren,,WKS-HQ-05,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-25 09:03:34,4624,WKS-HQ-18,m.tal,2,WKS-HQ-18,,,,
2026-05-25 09:07:14,4624,WKS-HQ-15,n.hazan,2,WKS-HQ-15,,,,
2026-05-25 09:07:41,4624,WKS-HQ-17,a.dahan,2,WKS-HQ-17,,,,
2026-05-25 09:08:17,4688,WKS-HQ-05,y.oren,,,,chrome.exe,chrome.exe --restore-last-session,
2026-05-25 09:13:14,4688,WKS-HQ-15,n.hazan,,,,teams.exe,teams.exe --system-initiated,
2026-05-25 09:19:02,4624,SRV-POSMGT,p.stein,3,WKS-HQ-26,,,,
2026-05-25 09:19:04,5140,SRV-POSMGT,p.stein,3,WKS-HQ-26,,,,\\SRV-POSMGT\Branches
2026-05-25 09:21:34,4624,SRV-FILE-HQ,m.tal,3,WKS-HQ-18,,,,
2026-05-25 09:27:47,4624,SRV-DC-01,a.mizrahi,3,WKS-IT-01,,,,
2026-05-25 09:27:49,5140,SRV-DC-01,a.mizrahi,3,WKS-IT-01,,,,\\SRV-DC-01\IT
2026-05-25 09:36:49,4769,SRV-DC-01,i.golan,,WKS-HQ-22,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-25 09:40:19,4769,SRV-DC-01,s.arbel,,WKS-PAY-11,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-25 09:48:23,4688,WKS-HQ-13,l.beit,,,,excel.exe,excel.exe /dde,
2026-05-25 09:57:17,4624,SRV-DC-01,d.levi,3,WKS-SEC-10,,,,
2026-05-25 10:20:55,4624,SRV-FILE-HQ,c.barak,3,WKS-HQ-27,,,,
2026-05-25 10:21:49,4624,SRV-POSMGT,i.golan,3,WKS-HQ-22,,,,
2026-05-25 10:31:47,4769,SRV-DC-01,a.mizrahi,,WKS-IT-01,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-25 10:32:14,4624,SRV-FILE-HQ,n.hazan,3,WKS-HQ-15,,,,
2026-05-25 10:33:43,4624,SRV-FILE-HQ,r.avni,3,WKS-HQ-14,,,,
2026-05-25 10:34:17,4769,SRV-DC-01,y.oren,,WKS-HQ-05,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-25 10:36:02,4624,SRV-POSMGT,v.harel,3,WKS-HQ-24,,,,
2026-05-25 10:36:04,5140,SRV-POSMGT,v.harel,3,WKS-HQ-24,,,,\\SRV-POSMGT\Branches
2026-05-25 10:36:31,4624,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,
2026-05-25 10:36:33,5140,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,\\SRV-FILE-HQ\Finance
2026-05-25 10:47:02,4624,SRV-POSMGT,p.stein,3,WKS-HQ-26,,,,
2026-05-25 10:49:55,4769,SRV-DC-01,c.barak,,WKS-HQ-27,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-25 10:51:20,4624,SRV-DC-01,e.katz,3,WKS-SEC-03,,,,
2026-05-25 10:51:22,5140,SRV-DC-01,e.katz,3,WKS-SEC-03,,,,\\SRV-DC-01\IT
2026-05-25 11:07:34,4624,SRV-FILE-HQ,m.tal,3,WKS-HQ-18,,,,
2026-05-25 11:08:14,4769,SRV-DC-01,n.hazan,,WKS-HQ-15,mssqlsvc_svc,,,MSSQLSvc/srv-posmgt.northgate.local:1433
2026-05-25 11:09:31,4624,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,
2026-05-25 11:32:19,4624,SRV-FILE-HQ,s.arbel,3,WKS-PAY-11,,,,
2026-05-25 11:34:25,4624,SRV-FILE-HQ,m.saban,3,WKS-IT-09,,,,
2026-05-25 11:42:55,4624,SRV-FILE-HQ,c.barak,3,WKS-HQ-27,,,,
2026-05-25 11:44:31,4624,SRV-FILE-HQ,n.barzilai,3,WKS-HQ-04,,,,
2026-05-25 11:46:51,4769,SRV-DC-01,z.amar,,WKS-HQ-25,http_svc,,,HTTP/web-supplier.northgate.local
2026-05-25 11:51:02,4624,SRV-POSMGT,p.stein,3,WKS-HQ-26,,,,
2026-05-25 11:51:04,5140,SRV-POSMGT,p.stein,3,WKS-HQ-26,,,,\\SRV-POSMGT\Branches
