_time,user,src_ip,src_country,result,mfa,session_min
2026-05-28 18:28:21,i.golan,77.136.125.146,IL,success,totp,30
2026-05-28 19:04:00,m.saban,77.131.0.49,IL,success,totp,43
2026-05-29 19:46:51,n.hazan,77.135.80.4,IL,success,push,70
2026-05-29 19:57:43,f.zohar,77.125.11.196,IL,success,totp,22
2026-05-30 16:15:10,h.peretz,77.125.248.230,IL,success,push,35
2026-05-30 16:59:58,f.zohar,77.138.232.197,IL,success,totp,84
2026-05-30 17:37:02,m.saban,77.121.56.202,IL,success,totp,125
2026-05-31 15:24:52,s.arbel,77.128.61.247,IL,success,totp,158
2026-05-31 16:50:27,f.zohar,77.132.110.102,IL,success,totp,53
2026-05-31 16:52:09,m.saban,77.139.184.136,IL,success,push,153
2026-05-31 17:01:35,h.peretz,77.123.112.99,IL,success,totp,25
2026-05-31 17:52:34,n.hazan,77.121.124.97,IL,success,push,114
2026-05-31 18:19:25,a.mizrahi,77.123.133.79,IL,success,push,138
2026-05-31 19:05:08,i.golan,77.122.80.4,IL,success,totp,104
2026-06-01 16:19:39,f.zohar,77.139.244.103,IL,success,totp,92
2026-06-01 17:06:31,a.mizrahi,77.136.175.192,IL,success,totp,66
2026-06-01 17:17:05,n.hazan,77.139.50.211,IL,success,push,102
2026-06-01 17:23:31,s.arbel,77.132.213.198,IL,success,push,119
2026-06-01 17:29:27,m.saban,77.126.155.240,IL,success,push,59
2026-06-01 18:56:30,i.golan,77.133.53.147,IL,success,push,87
2026-06-01 19:47:46,h.peretz,77.131.30.108,IL,success,push,33
2026-06-02 15:12:07,a.mizrahi,77.127.47.42,IL,success,totp,150
2026-06-02 15:51:10,s.arbel,77.131.143.81,IL,success,push,157
2026-06-02 16:18:20,n.hazan,77.120.16.84,IL,failure,totp,0
2026-06-02 16:22:20,n.hazan,77.130.176.102,IL,success,totp,52
2026-06-02 17:12:00,h.peretz,77.126.140.135,IL,success,totp,46
2026-06-02 18:11:02,m.saban,77.137.244.216,IL,success,push,20
2026-06-02 18:40:14,f.zohar,77.122.208.115,IL,success,push,124
2026-06-02 19:17:26,i.golan,77.139.126.109,IL,success,push,114
2026-06-03 15:25:12,h.peretz,77.127.13.217,IL,success,push,116
2026-06-03 17:01:48,f.zohar,77.125.46.57,IL,success,totp,41
2026-06-03 17:46:14,s.arbel,77.127.109.46,IL,success,totp,134
2026-06-03 17:46:57,m.saban,77.127.17.58,IL,success,totp,116
2026-06-03 18:37:24,n.hazan,77.135.201.38,IL,success,totp,54
2026-06-03 18:45:57,i.golan,77.136.53.124,IL,success,totp,34
2026-06-03 19:02:34,a.mizrahi,77.138.216.48,IL,success,totp,142
2026-06-04 16:39:38,i.golan,77.125.145.156,IL,success,push,39
2026-06-04 17:28:17,s.arbel,77.135.47.32,IL,success,totp,137
2026-06-04 17:38:11,f.zohar,77.122.138.175,IL,success,push,82
2026-06-04 17:44:52,m.saban,77.129.132.100,IL,success,totp,161
2026-06-04 17:52:47,n.hazan,77.124.145.17,IL,success,push,101
2026-06-04 18:38:15,h.peretz,77.125.171.67,IL,success,totp,41
2026-06-04 19:30:11,a.mizrahi,77.127.158.118,IL,success,totp,28
2026-06-05 17:00:32,h.peretz,77.127.250.246,IL,success,push,71
2026-06-05 18:24:45,m.saban,77.132.181.107,IL,success,totp,123
2026-06-06 18:19:39,s.arbel,77.135.178.70,IL,success,push,56
2026-06-06 19:29:34,m.saban,77.134.72.165,IL,success,totp,71
2026-06-06 19:46:54,a.mizrahi,77.124.248.114,IL,success,totp,46
2026-06-07 16:13:02,h.peretz,77.134.25.119,IL,success,totp,148
2026-06-07 16:36:11,m.saban,77.121.62.183,IL,success,totp,141
2026-06-07 17:08:35,a.mizrahi,77.127.145.228,IL,success,push,120
2026-06-07 17:10:31,s.arbel,77.133.189.20,IL,success,totp,126
2026-06-07 17:13:29,n.hazan,77.132.28.181,IL,success,totp,33
2026-06-07 18:03:36,f.zohar,77.130.192.26,IL,success,push,124
2026-06-07 19:49:02,i.golan,77.139.243.24,IL,success,totp,116
2026-06-08 16:53:34,h.peretz,77.130.55.141,IL,success,push,112
2026-06-08 17:13:50,s.arbel,77.126.221.101,IL,success,push,96
2026-06-08 17:29:39,n.hazan,77.132.74.240,IL,success,push,119
2026-06-08 17:39:25,m.saban,77.121.247.198,IL,success,totp,152
2026-06-08 17:43:34,f.zohar,77.138.37.94,IL,success,push,67
2026-06-08 17:50:58,i.golan,77.125.137.117,IL,success,push,111
2026-06-08 19:23:58,a.mizrahi,77.130.242.227,IL,success,push,150
2026-06-09 16:02:52,i.golan,77.132.147.55,IL,success,totp,87
2026-06-09 16:33:12,n.hazan,77.132.94.195,IL,success,totp,100
2026-06-09 18:24:31,m.saban,77.132.75.66,IL,success,totp,41
2026-06-09 18:51:55,a.mizrahi,77.121.95.232,IL,success,push,121
2026-06-09 19:06:55,s.arbel,77.133.114.42,IL,success,totp,114
2026-06-09 19:27:37,h.peretz,77.131.245.47,IL,success,push,32
2026-06-09 20:02:00,f.zohar,77.128.73.252,IL,success,push,163
2026-06-10 15:22:46,a.mizrahi,77.120.116.242,IL,success,totp,141
2026-06-10 16:42:00,h.peretz,77.121.185.143,IL,success,totp,56
2026-06-10 17:51:38,m.saban,77.128.224.140,IL,success,push,85
2026-06-10 18:08:55,s.arbel,77.132.98.52,IL,success,totp,41
2026-06-10 18:14:45,f.zohar,77.125.195.32,IL,success,push,35
2026-06-10 18:36:13,n.hazan,77.121.139.183,IL,success,push,44
2026-06-10 19:33:01,i.golan,77.120.17.161,IL,success,totp,146
2026-06-11 15:58:21,a.mizrahi,77.136.225.50,IL,success,push,19
2026-06-11 16:18:07,s.arbel,77.129.167.94,IL,success,totp,104
2026-06-11 17:22:42,i.golan,77.133.188.214,IL,success,totp,122
2026-06-11 17:37:45,f.zohar,77.125.152.51,IL,success,totp,126
2026-06-11 18:03:42,n.hazan,77.123.191.233,IL,failure,push,0
2026-06-11 18:06:42,n.hazan,77.126.105.161,IL,success,totp,152
2026-06-11 18:11:28,m.saban,77.129.49.234,IL,success,totp,127
2026-06-11 19:35:21,h.peretz,77.122.25.157,IL,failure,totp,0
2026-06-11 19:36:21,h.peretz,77.131.122.180,IL,success,totp,139
2026-06-12 17:12:10,n.hazan,77.129.242.75,IL,success,totp,159
2026-06-12 17:57:54,i.golan,77.127.20.181,IL,success,push,161
2026-06-12 19:14:56,f.zohar,77.131.176.210,IL,success,push,151
2026-06-12 19:22:13,a.mizrahi,77.137.41.228,IL,success,push,156
2026-06-13 16:34:32,s.arbel,77.136.173.161,IL,success,totp,121
2026-06-13 18:54:00,h.peretz,77.123.71.105,IL,success,totp,52
2026-06-13 19:13:50,f.zohar,77.125.52.69,IL,success,push,84
2026-06-14 15:41:38,i.golan,77.128.9.209,IL,success,totp,36
2026-06-14 15:42:15,s.arbel,77.121.128.123,IL,success,push,160
2026-06-14 17:36:52,a.mizrahi,77.134.45.18,IL,success,push,35
2026-06-14 17:41:58,m.saban,77.138.172.115,IL,success,totp,77
2026-06-14 17:50:23,h.peretz,77.135.50.181,IL,failure,push,0
2026-06-14 17:54:23,h.peretz,77.130.138.225,IL,success,totp,106
2026-06-14 18:30:17,f.zohar,77.134.208.213,IL,success,totp,49
2026-06-14 19:40:50,n.hazan,77.121.26.191,IL,success,totp,135
2026-06-15 16:09:33,n.hazan,77.132.167.24,IL,success,totp,148
2026-06-15 17:30:58,f.zohar,77.132.228.28,IL,failure,totp,0
2026-06-15 17:32:58,f.zohar,77.136.45.143,IL,success,push,148
2026-06-15 17:55:25,h.peretz,77.124.90.225,IL,success,totp,73
2026-06-15 18:25:16,s.arbel,77.131.51.199,IL,success,push,26
2026-06-15 19:17:09,m.saban,77.139.208.77,IL,success,totp,68
2026-06-15 19:17:51,i.golan,77.131.150.209,IL,success,totp,128
2026-06-15 20:06:20,a.mizrahi,77.132.124.18,IL,success,push,57
2026-06-16 16:32:11,h.peretz,77.137.45.14,IL,success,push,43
2026-06-16 16:33:18,f.zohar,77.127.30.72,IL,success,push,150
2026-06-16 16:38:22,m.saban,77.122.44.40,IL,success,totp,73
2026-06-16 16:45:24,s.arbel,77.136.249.199,IL,failure,push,0
2026-06-16 16:47:24,s.arbel,77.137.217.9,IL,success,push,25
2026-06-16 17:12:27,i.golan,77.134.201.106,IL,success,push,56
2026-06-16 17:58:10,n.hazan,77.126.197.31,IL,success,push,124
2026-06-16 19:04:38,a.mizrahi,77.133.200.112,IL,success,totp,37
2026-06-17 15:21:01,i.golan,77.134.6.74,IL,success,push,131
2026-06-17 16:04:24,f.zohar,77.126.208.157,IL,success,push,129
2026-06-17 16:22:04,s.arbel,77.133.218.84,IL,success,totp,44
2026-06-17 17:06:32,m.saban,77.120.48.51,IL,success,totp,53
2026-06-17 17:24:59,n.hazan,77.135.188.62,IL,success,totp,123
2026-06-17 18:39:55,a.mizrahi,77.134.133.63,IL,success,totp,18
2026-06-17 18:51:49,h.peretz,77.130.93.243,IL,success,push,145
2026-06-18 15:41:00,i.golan,77.133.187.135,IL,success,totp,71
2026-06-18 16:23:17,n.hazan,77.129.236.119,IL,success,totp,67
2026-06-18 17:49:49,m.saban,77.133.160.177,IL,success,totp,65
2026-06-18 17:51:12,h.peretz,77.125.147.15,IL,success,totp,21
2026-06-18 18:19:00,s.arbel,77.125.139.54,IL,success,totp,86
2026-06-18 18:52:52,a.mizrahi,77.129.80.184,IL,success,totp,36
2026-06-18 19:41:06,f.zohar,77.124.5.120,IL,success,totp,93
2026-06-19 15:56:45,h.peretz,77.128.98.119,IL,success,push,85
2026-06-19 16:51:15,i.golan,77.136.67.211,IL,success,totp,125
2026-06-19 18:41:28,n.hazan,77.138.19.60,IL,success,push,20
2026-06-20 17:11:39,i.golan,77.130.4.195,IL,success,totp,145
2026-06-20 17:44:09,s.arbel,77.136.151.204,IL,success,push,133
2026-06-20 19:20:30,n.hazan,77.132.6.104,IL,success,totp,80
2026-06-21 15:15:47,m.saban,77.134.131.245,IL,success,totp,61
2026-06-21 15:30:50,s.arbel,77.136.252.169,IL,success,totp,80
2026-06-21 16:33:31,n.hazan,77.123.194.191,IL,failure,totp,0
2026-06-21 16:37:31,n.hazan,77.128.252.35,IL,success,totp,56
2026-06-21 17:00:20,a.mizrahi,77.133.68.165,IL,success,totp,115
2026-06-21 18:21:50,i.golan,77.137.107.154,IL,success,push,33
2026-06-21 18:53:00,h.peretz,77.137.74.246,IL,success,totp,122
2026-06-21 19:52:49,f.zohar,77.136.174.96,IL,success,totp,80
2026-06-22 15:52:58,n.hazan,77.135.47.19,IL,failure,totp,0
2026-06-22 15:54:58,n.hazan,77.121.108.48,IL,success,push,113
2026-06-22 16:08:44,a.mizrahi,77.135.168.247,IL,success,push,94
2026-06-22 16:39:58,f.zohar,77.120.207.186,IL,success,totp,158
2026-06-22 18:09:48,s.arbel,77.138.209.14,IL,success,totp,48
2026-06-22 18:15:37,h.peretz,77.132.207.228,IL,success,totp,67
2026-06-22 18:50:33,m.saban,77.121.217.79,IL,success,push,50
2026-06-22 19:07:57,i.golan,77.137.255.171,IL,success,push,153
2026-06-23 17:24:04,n.hazan,77.121.102.81,IL,success,push,57
2026-06-23 17:26:20,f.zohar,77.123.86.87,IL,success,push,134
2026-06-23 17:29:43,m.saban,77.121.248.248,IL,success,push,102
2026-06-23 17:43:36,h.peretz,77.132.5.15,IL,success,push,43
2026-06-23 17:45:50,s.arbel,77.127.187.25,IL,success,push,62
2026-06-23 17:47:35,a.mizrahi,77.122.84.11,IL,success,totp,56
2026-06-23 19:14:03,i.golan,77.134.188.240,IL,success,totp,62
2026-06-24 16:24:04,i.golan,77.130.48.221,IL,success,totp,65
2026-06-24 18:32:55,a.mizrahi,77.125.187.194,IL,success,totp,46
2026-06-24 18:44:16,m.saban,77.123.160.202,IL,success,push,82
2026-06-24 18:44:25,n.hazan,77.132.50.216,IL,failure,totp,0
2026-06-24 18:47:25,n.hazan,77.130.111.159,IL,success,totp,63
2026-06-24 19:41:02,s.arbel,77.132.23.65,IL,success,totp,91
2026-06-24 20:01:58,f.zohar,77.125.138.75,IL,success,totp,134
2026-06-24 20:08:34,h.peretz,77.135.213.3,IL,success,totp,163
2026-06-25 15:51:44,m.saban,77.139.135.244,IL,success,totp,157
2026-06-25 15:54:30,h.peretz,77.121.117.144,IL,success,totp,120
2026-06-25 16:02:14,s.arbel,77.129.92.140,IL,success,totp,139
2026-06-25 16:09:01,a.mizrahi,77.130.43.220,IL,success,push,49
2026-06-25 16:36:27,i.golan,77.127.231.88,IL,success,push,161
2026-06-25 18:38:26,f.zohar,77.129.235.21,IL,success,totp,85
2026-06-25 19:13:46,n.hazan,77.129.145.65,IL,success,push,135
2026-06-26 16:59:38,s.arbel,77.133.29.228,IL,success,totp,18
2026-06-26 19:59:11,f.zohar,77.120.2.178,IL,success,push,134
2026-06-27 15:15:45,m.saban,77.124.167.243,IL,success,totp,51
2026-06-27 15:54:59,a.mizrahi,77.136.15.133,IL,success,push,158
2026-06-28 15:57:11,f.zohar,77.126.161.230,IL,success,push,137
2026-06-28 17:49:06,h.peretz,77.126.12.245,IL,success,push,25
2026-06-28 17:57:48,n.hazan,77.137.60.60,IL,success,push,24
2026-06-28 18:30:51,m.saban,77.134.6.47,IL,success,push,144
2026-06-28 18:38:35,i.golan,77.132.215.30,IL,success,push,78
2026-06-28 18:51:44,a.mizrahi,77.128.76.102,IL,success,totp,137
2026-06-28 19:41:20,s.arbel,77.132.188.72,IL,success,push,115
2026-06-29 17:53:46,h.peretz,77.130.184.149,IL,success,totp,119
2026-06-29 17:58:20,a.mizrahi,77.138.94.138,IL,success,totp,69
2026-06-29 18:03:29,s.arbel,77.137.215.186,IL,failure,totp,0
2026-06-29 18:05:29,s.arbel,77.121.151.30,IL,success,totp,66
2026-06-29 18:32:33,f.zohar,77.123.236.50,IL,success,totp,102
2026-06-29 18:56:47,i.golan,77.122.163.253,IL,success,push,57
2026-06-29 18:56:58,m.saban,77.125.94.220,IL,success,totp,23
2026-06-29 20:04:38,n.hazan,77.124.120.69,IL,success,totp,23
2026-06-30 16:31:39,a.mizrahi,77.136.103.174,IL,success,push,157
2026-06-30 18:02:54,n.hazan,77.121.177.49,IL,success,totp,110
2026-06-30 18:18:45,s.arbel,77.136.244.250,IL,success,totp,73
2026-06-30 18:52:08,h.peretz,77.120.118.206,IL,success,push,58
2026-06-30 19:01:51,f.zohar,77.123.199.56,IL,success,totp,158
2026-06-30 19:02:19,m.saban,77.120.197.249,IL,success,push,23
2026-06-30 19:05:27,i.golan,77.123.100.57,IL,success,totp,55
2026-07-01 16:25:31,h.peretz,77.127.253.177,IL,success,totp,112
2026-07-01 17:26:24,n.hazan,77.126.68.160,IL,success,totp,131
2026-07-01 17:54:02,i.golan,77.138.12.25,IL,success,push,135
2026-07-01 18:24:53,f.zohar,77.134.83.221,IL,success,push,19
2026-07-01 18:45:23,a.mizrahi,77.128.9.58,IL,success,push,152
2026-07-01 19:39:00,s.arbel,77.128.91.98,IL,success,totp,154
2026-07-01 20:01:26,m.saban,77.135.93.180,IL,success,push,29
2026-07-02 16:25:32,a.mizrahi,77.132.27.15,IL,success,push,104
2026-07-02 16:52:11,n.hazan,77.134.248.236,IL,success,push,129
2026-07-02 17:21:48,h.peretz,77.128.172.154,IL,success,push,73
2026-07-02 17:52:21,s.arbel,77.133.105.117,IL,success,totp,110
2026-07-02 17:54:39,m.saban,77.132.252.52,IL,success,totp,97
2026-07-02 18:32:18,i.golan,77.129.173.62,IL,success,push,35
2026-07-02 19:03:30,f.zohar,77.132.110.72,IL,failure,totp,0
2026-07-02 19:06:30,f.zohar,77.134.203.139,IL,success,push,119
2026-07-03 15:36:05,i.golan,77.123.178.51,IL,success,push,45
2026-07-03 17:29:37,s.arbel,77.128.221.229,IL,success,push,141
2026-07-03 19:05:00,m.saban,77.123.169.251,IL,success,totp,140
2026-07-04 16:32:55,h.peretz,77.135.143.127,IL,success,totp,131
2026-07-04 17:07:46,s.arbel,77.139.120.31,IL,success,push,29
2026-07-04 19:49:41,n.hazan,77.129.128.148,IL,failure,totp,0
2026-07-04 19:53:01,m.saban,77.126.25.138,IL,success,push,69
2026-07-04 19:53:41,n.hazan,77.134.157.241,IL,success,push,56
2026-07-05 17:37:44,i.golan,77.124.124.14,IL,success,push,102
2026-07-05 17:40:08,a.mizrahi,77.125.157.220,IL,success,totp,25
2026-07-05 18:50:07,s.arbel,77.126.177.122,IL,success,totp,117
2026-07-05 18:55:25,m.saban,77.126.191.204,IL,success,push,120
2026-07-05 19:26:20,h.peretz,77.128.217.178,IL,success,totp,41
2026-07-05 19:46:37,f.zohar,77.128.10.69,IL,success,totp,119
2026-07-05 19:51:53,n.hazan,77.138.10.118,IL,success,push,125
2026-07-06 15:30:36,h.peretz,77.131.6.139,IL,success,push,143
2026-07-06 18:16:21,i.golan,77.138.117.20,IL,success,push,142
2026-07-06 18:21:59,a.mizrahi,77.133.200.217,IL,success,push,53
2026-07-06 18:30:28,m.saban,77.139.42.247,IL,success,push,137
2026-07-06 18:30:35,n.hazan,77.137.59.102,IL,success,totp,90
2026-07-06 18:42:50,s.arbel,77.122.234.111,IL,success,totp,101
2026-07-06 19:40:56,f.zohar,77.127.5.169,IL,success,push,39
2026-07-07 16:43:00,s.arbel,77.133.227.99,IL,success,totp,31
2026-07-07 17:31:24,f.zohar,77.128.5.37,IL,success,push,88
2026-07-07 17:45:34,n.hazan,77.136.75.162,IL,success,totp,135
2026-07-07 17:58:44,h.peretz,77.125.108.145,IL,failure,push,0
2026-07-07 18:00:44,h.peretz,77.128.188.32,IL,success,totp,72
2026-07-07 18:12:09,i.golan,77.129.4.205,IL,success,push,115
2026-07-07 18:32:47,m.saban,77.134.80.32,IL,success,push,45
2026-07-07 19:53:33,a.mizrahi,77.125.205.71,IL,success,push,26
2026-07-08 15:39:28,f.zohar,77.133.18.107,IL,success,push,26
2026-07-08 15:54:06,i.golan,77.130.155.47,IL,success,totp,133
2026-07-08 16:16:25,h.peretz,77.129.56.156,IL,success,push,139
2026-07-08 17:06:35,m.saban,77.137.91.65,IL,success,push,71
2026-07-08 19:17:32,s.arbel,77.130.160.94,IL,success,totp,67
2026-07-08 19:23:20,a.mizrahi,77.138.56.180,IL,success,totp,41
2026-07-08 19:54:09,n.hazan,77.133.173.20,IL,success,push,164
2026-07-09 15:15:08,a.mizrahi,77.124.211.210,IL,success,push,136
2026-07-09 15:43:25,s.arbel,77.125.3.50,IL,success,totp,108
2026-07-09 15:55:31,m.saban,77.130.83.153,IL,success,totp,48
2026-07-09 16:15:52,i.golan,77.132.106.200,IL,success,totp,149
2026-07-09 17:47:19,h.peretz,77.126.224.185,IL,success,push,104
2026-07-09 18:33:03,f.zohar,77.134.136.130,IL,success,totp,33
2026-07-09 19:43:39,n.hazan,77.131.234.166,IL,success,push,130
2026-07-10 16:07:17,n.hazan,77.138.8.52,IL,success,push,85
2026-07-10 18:04:28,f.zohar,77.138.30.234,IL,success,push,91
2026-07-11 17:57:07,i.golan,77.131.81.219,IL,success,push,18
2026-07-11 18:27:29,m.saban,77.134.163.77,IL,success,push,32
2026-07-11 20:07:57,s.arbel,77.128.202.39,IL,success,push,87
2026-07-12 15:17:01,s.arbel,77.134.186.47,IL,success,push,138
2026-07-12 15:56:37,a.mizrahi,77.120.177.236,IL,success,totp,142
2026-07-12 17:32:01,i.golan,77.132.50.22,IL,success,totp,138
2026-07-12 18:48:52,m.saban,77.131.127.19,IL,success,push,132
2026-07-12 18:49:33,h.peretz,77.124.42.170,IL,success,push,18
2026-07-12 19:11:55,f.zohar,77.127.42.59,IL,success,totp,61
2026-07-12 19:43:52,n.hazan,77.133.169.187,IL,success,push,111
2026-07-13 16:51:35,f.zohar,77.131.159.204,IL,success,totp,148
2026-07-13 16:54:33,a.mizrahi,77.133.59.168,IL,success,totp,113
2026-07-13 17:37:30,h.peretz,77.120.247.83,IL,success,totp,111
2026-07-13 17:40:19,n.hazan,77.133.142.222,IL,success,totp,37
2026-07-13 18:08:35,s.arbel,77.130.56.92,IL,success,push,39
2026-07-13 18:11:47,m.saban,77.132.229.153,IL,success,totp,66
2026-07-13 18:14:13,i.golan,77.128.95.3,IL,success,totp,132
2026-07-14 16:00:54,a.mizrahi,77.121.107.217,IL,success,totp,87
2026-07-14 17:44:56,n.hazan,77.136.169.118,IL,success,totp,81
2026-07-14 18:17:25,f.zohar,77.133.17.216,IL,success,totp,156
2026-07-14 18:25:44,h.peretz,77.129.190.36,IL,success,totp,126
2026-07-14 18:41:10,m.saban,77.138.165.46,IL,success,totp,148
2026-07-14 19:21:49,i.golan,77.128.37.128,IL,success,push,151
2026-07-14 19:55:16,s.arbel,77.136.39.210,IL,success,push,142
2026-07-15 15:28:13,h.peretz,77.127.127.197,IL,success,totp,39
2026-07-15 16:42:33,m.saban,77.135.227.187,IL,success,totp,132
2026-07-15 17:11:53,s.arbel,77.128.248.28,IL,success,totp,85
2026-07-15 17:17:00,a.mizrahi,77.121.154.24,IL,success,push,157
2026-07-15 17:49:40,n.hazan,77.123.245.156,IL,success,push,58
2026-07-15 19:40:53,i.golan,77.131.119.71,IL,success,totp,161
2026-07-15 19:50:28,f.zohar,77.121.96.41,IL,success,push,115
2026-07-16 15:25:05,i.golan,77.137.28.180,IL,success,push,142
2026-07-16 15:28:27,m.saban,77.132.169.229,IL,success,push,56
2026-07-16 16:30:12,n.hazan,77.135.56.87,IL,success,totp,57
2026-07-16 17:01:50,f.zohar,77.135.68.95,IL,success,totp,123
2026-07-16 18:05:08,s.arbel,77.128.254.36,IL,success,totp,92
2026-07-16 18:10:02,a.mizrahi,77.125.58.50,IL,success,push,161
2026-07-16 19:54:22,h.peretz,77.139.207.166,IL,success,totp,110
2026-07-17 16:37:06,m.saban,77.130.195.95,IL,success,push,136
2026-07-18 17:06:02,h.peretz,77.132.13.41,IL,success,push,38
2026-07-18 17:56:39,i.golan,77.126.198.195,IL,success,push,155
2026-07-18 17:56:42,m.saban,77.130.166.102,IL,success,push,30
2026-07-18 18:02:22,f.zohar,77.124.220.146,IL,success,push,98
2026-07-19 15:51:56,h.peretz,77.134.63.83,IL,success,totp,65
2026-07-19 17:45:52,f.zohar,77.124.147.155,IL,failure,push,0
2026-07-19 17:49:52,f.zohar,77.123.98.191,IL,success,push,98
2026-07-19 18:21:13,a.mizrahi,77.127.246.71,IL,success,totp,80
2026-07-19 18:27:43,s.arbel,77.129.197.244,IL,success,totp,118
2026-07-19 18:53:22,i.golan,77.131.44.127,IL,success,push,64
2026-07-19 19:11:35,n.hazan,77.136.42.197,IL,success,push,137
2026-07-19 19:41:45,m.saban,77.133.138.16,IL,success,push,130
2026-07-20 16:20:36,s.arbel,77.138.67.131,IL,success,totp,69
2026-07-20 17:03:45,a.mizrahi,77.134.11.18,IL,success,push,92
2026-07-20 17:05:49,i.golan,77.125.77.149,IL,success,totp,137
2026-07-20 17:45:33,m.saban,77.128.37.197,IL,success,push,65
2026-07-20 18:20:01,f.zohar,77.124.137.88,IL,success,totp,34
2026-07-20 18:43:14,h.peretz,77.139.120.131,IL,success,push,160
2026-07-20 18:56:09,n.hazan,77.120.213.192,IL,success,totp,25
2026-07-21 16:41:37,m.saban,77.124.153.101,IL,success,push,81
2026-07-21 17:06:57,h.peretz,77.130.201.26,IL,success,totp,116
2026-07-21 18:08:50,s.arbel,77.130.71.183,IL,success,push,70
2026-07-21 18:49:00,i.golan,77.130.182.141,IL,success,push,85
2026-07-21 19:22:44,n.hazan,77.121.20.177,IL,success,totp,108
2026-07-21 19:32:10,f.zohar,77.131.195.98,IL,success,push,55
2026-07-21 19:35:12,a.mizrahi,77.131.39.242,IL,success,push,46
2026-07-22 17:17:16,m.saban,77.126.250.64,IL,success,totp,155
2026-07-22 17:25:52,i.golan,77.131.104.78,IL,success,totp,39
2026-07-22 18:47:01,n.hazan,77.133.76.154,IL,success,totp,100
2026-07-22 19:14:11,s.arbel,77.120.151.136,IL,success,push,151
2026-07-22 19:19:08,a.mizrahi,77.127.162.82,IL,success,push,21
2026-07-22 19:30:19,f.zohar,77.123.102.197,IL,success,totp,41
2026-07-22 20:06:43,h.peretz,77.128.166.204,IL,success,totp,157
2026-07-23 15:21:10,h.peretz,77.126.244.166,IL,success,push,61
2026-07-23 16:02:04,i.golan,77.120.168.188,IL,success,push,18
2026-07-23 17:27:00,s.arbel,77.131.0.43,IL,success,push,130
2026-07-23 18:14:30,a.mizrahi,77.126.52.165,IL,success,totp,135
2026-07-23 18:19:15,n.hazan,77.124.224.2,IL,failure,totp,0
2026-07-23 18:22:15,n.hazan,77.122.84.165,IL,success,push,58
2026-07-23 18:35:23,m.saban,77.127.201.214,IL,success,push,97
2026-07-23 19:50:04,f.zohar,77.125.119.79,IL,success,totp,98
2026-07-24 19:34:24,s.arbel,77.126.64.119,IL,success,totp,66
2026-07-25 19:20:41,m.saban,77.125.35.39,IL,success,push,140
2026-07-25 19:40:50,s.arbel,77.127.102.157,IL,success,push,160
2026-07-25 20:05:35,h.peretz,77.131.183.214,IL,success,totp,52
