_time,src_host,dest_host,user_agent,method,bytes_out,verdict
2026-05-24 07:37:37,WKS-HQ-07,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,17073,allowed
2026-05-24 07:38:46,WKS-PAY-11,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,11249,allowed
2026-05-24 07:39:56,WKS-IT-09,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,15867,allowed
2026-05-24 08:02:06,WKS-HQ-13,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,14333,allowed
2026-05-24 08:10:22,WKS-HQ-22,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,4779,allowed
2026-05-24 08:13:51,WKS-HQ-27,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,3123,allowed
2026-05-24 08:21:20,WKS-HQ-21,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,CONNECT,16794,allowed
2026-05-24 08:29:12,WKS-IT-09,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,7000,allowed
2026-05-24 08:29:42,WKS-IT-08,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,CONNECT,4495,allowed
2026-05-24 08:49:00,WKS-SEC-03,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,POST,1171,allowed
2026-05-24 09:00:10,WKS-PAY-02,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,11897,allowed
2026-05-24 09:04:26,WKS-HQ-05,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,41481,allowed
2026-05-24 09:05:46,WKS-HQ-16,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,2511,allowed
2026-05-24 09:22:54,WKS-HQ-22,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,CONNECT,4398,allowed
2026-05-24 09:34:00,WKS-IT-09,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,10400,allowed
2026-05-24 09:36:28,WKS-HQ-15,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,163521,allowed
2026-05-24 09:43:02,WKS-IT-09,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,37754,allowed
2026-05-24 09:43:20,WKS-HQ-25,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,2301,allowed
2026-05-24 09:51:55,WKS-HQ-15,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,1988,blocked
2026-05-24 09:52:55,WKS-PAY-11,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,4332,allowed
2026-05-24 10:00:15,WKS-HQ-05,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,233991,allowed
2026-05-24 10:12:00,WKS-HQ-25,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,3124,allowed
2026-05-24 10:14:47,WKS-HQ-15,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,1919,allowed
2026-05-24 10:16:13,WKS-HQ-22,supplier-cdn.northgate.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,4933,allowed
2026-05-24 10:17:04,WKS-HQ-25,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,14705,allowed
2026-05-24 10:22:09,WKS-IT-09,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,4549,allowed
2026-05-24 10:36:47,WKS-HQ-28,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,6845,allowed
2026-05-24 10:39:48,WKS-HQ-28,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,POST,15804,allowed
2026-05-24 10:49:29,WKS-HQ-26,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,93600,allowed
2026-05-24 11:01:37,WKS-PAY-02,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,56375,allowed
2026-05-24 11:02:49,WKS-HQ-13,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,14811,allowed
2026-05-24 11:08:18,WKS-HQ-28,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,205649,allowed
2026-05-24 11:11:19,WKS-HQ-13,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,12108,allowed
2026-05-24 11:13:46,WKS-HQ-19,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,44511,allowed
2026-05-24 11:15:01,WKS-PAY-11,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,1992,allowed
2026-05-24 11:15:32,WKS-SEC-03,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,11713,allowed
2026-05-24 11:17:08,WKS-HQ-14,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,2724,blocked
2026-05-24 11:21:31,WKS-PAY-02,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,3890,allowed
2026-05-24 11:25:54,WKS-IT-09,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,3008,allowed
2026-05-24 11:31:51,WKS-PAY-02,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,831,allowed
2026-05-24 11:34:04,WKS-HQ-19,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,2226,allowed
2026-05-24 11:37:01,WKS-PAY-11,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,3699,allowed
2026-05-24 11:37:54,WKS-PAY-02,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,20427,allowed
2026-05-24 11:42:03,WKS-HQ-21,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,3501,allowed
2026-05-24 11:52:57,WKS-HQ-28,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,78131,allowed
2026-05-24 11:55:58,WKS-HQ-27,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,568,allowed
2026-05-24 12:01:34,WKS-HQ-04,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,280218,allowed
2026-05-24 12:02:19,WKS-PAY-02,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,1635,allowed
2026-05-24 12:03:58,WKS-PAY-11,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,51540,allowed
2026-05-24 12:04:48,WKS-HQ-18,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,837,allowed
2026-05-24 12:25:50,WKS-IT-01,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,4313,allowed
2026-05-24 12:28:03,WKS-HQ-13,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,1772,allowed
2026-05-24 12:37:43,WKS-HQ-24,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,45885,allowed
2026-05-24 12:48:30,WKS-PAY-02,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,36881,allowed
2026-05-24 13:02:40,WKS-HQ-27,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,39816,allowed
2026-05-24 13:08:42,WKS-HQ-19,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,66530,allowed
2026-05-24 13:12:43,WKS-HQ-05,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,2307,allowed
2026-05-24 13:27:54,WKS-HQ-04,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,3870,allowed
2026-05-24 13:55:35,WKS-HQ-15,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,18529,allowed
2026-05-25 05:05:09,WKS-HQ-24,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,923,allowed
2026-05-25 05:32:06,WKS-PAY-02,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,34137,allowed
2026-05-25 05:41:01,WKS-HQ-23,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,10232,allowed
2026-05-25 05:47:38,WKS-HQ-14,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,969,allowed
2026-05-25 05:51:27,WKS-HQ-14,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,4116,allowed
2026-05-25 05:52:46,WKS-IT-29,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,8730,allowed
2026-05-25 05:53:33,WKS-HQ-28,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,5157,allowed
2026-05-25 06:02:06,WKS-HQ-05,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,CONNECT,36113,allowed
2026-05-25 06:03:40,WKS-PAY-12,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,1512,allowed
2026-05-25 06:04:32,WKS-HQ-22,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,CONNECT,43676,allowed
2026-05-25 06:07:43,WKS-HQ-20,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,1358,allowed
2026-05-25 06:08:56,WKS-HQ-13,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,6047,allowed
2026-05-25 06:12:05,WKS-SEC-10,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,38608,allowed
2026-05-25 06:12:36,WKS-PAY-12,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,143120,allowed
2026-05-25 06:18:21,WKS-PAY-12,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,85224,allowed
2026-05-25 06:23:18,WKS-HQ-27,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,10096,allowed
2026-05-25 06:28:35,WKS-PAY-02,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,86111,allowed
2026-05-25 06:41:09,WKS-HQ-26,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,POST,4059,allowed
2026-05-25 06:41:23,WKS-HQ-22,supplier-cdn.northgate.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,21710,allowed
2026-05-25 06:42:27,WKS-HQ-14,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,3345,allowed
2026-05-25 07:02:56,WKS-IT-09,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,21937,blocked
2026-05-25 07:07:13,WKS-HQ-05,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,48849,allowed
2026-05-25 07:16:21,WKS-HQ-28,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,25330,allowed
2026-05-25 07:17:54,WKS-IT-09,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,POST,21636,allowed
2026-05-25 07:18:52,WKS-HQ-20,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,22986,allowed
2026-05-25 07:24:52,WKS-HQ-19,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,400,allowed
2026-05-25 07:26:26,WKS-PAY-12,supplier-cdn.northgate.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,21850,allowed
2026-05-25 07:27:03,WKS-HQ-04,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,437,allowed
2026-05-25 07:34:12,WKS-HQ-13,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1623,allowed
2026-05-25 07:35:04,WKS-HQ-22,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,11994,allowed
2026-05-25 07:43:58,WKS-HQ-28,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,207022,allowed
2026-05-25 07:47:32,WKS-HQ-14,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,84424,allowed
2026-05-25 07:56:08,WKS-HQ-04,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,16857,allowed
2026-05-25 07:56:26,WKS-HQ-04,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,53573,allowed
2026-05-25 07:59:39,WKS-HQ-17,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,CONNECT,44412,allowed
2026-05-25 08:10:01,WKS-PAY-12,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,2508,allowed
2026-05-25 08:11:09,WKS-HQ-05,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,3622,allowed
2026-05-25 08:13:25,WKS-HQ-19,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,3087,allowed
2026-05-25 08:29:46,WKS-IT-08,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,795,allowed
2026-05-25 08:33:00,WKS-HQ-28,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,13351,allowed
2026-05-25 08:33:45,WKS-PAY-12,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,CONNECT,30854,allowed
2026-05-25 08:38:20,WKS-PAY-11,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,1771,allowed
2026-05-25 08:55:03,WKS-HQ-05,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,2689,allowed
2026-05-25 08:57:13,WKS-SEC-10,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,4599,allowed
2026-05-25 09:01:08,WKS-IT-08,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,7270,allowed
2026-05-25 09:24:53,WKS-HQ-20,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,27549,allowed
2026-05-25 09:26:28,WKS-HQ-05,outlook.office365.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1163,allowed
2026-05-25 09:34:47,WKS-HQ-04,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,7139,blocked
2026-05-25 09:36:02,WKS-SEC-03,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1875,allowed
2026-05-25 09:40:12,WKS-HQ-06,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,8076,allowed
2026-05-25 09:44:30,WKS-HQ-14,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,2940,allowed
2026-05-25 09:45:24,WKS-HQ-04,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1046,blocked
2026-05-25 09:46:29,WKS-HQ-28,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,POST,6516,allowed
2026-05-25 09:50:29,WKS-HQ-05,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,3496,allowed
2026-05-25 10:09:14,WKS-PAY-12,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,12179,allowed
2026-05-25 10:22:06,WKS-HQ-05,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,108926,allowed
2026-05-25 10:24:36,WKS-HQ-04,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,CONNECT,7856,allowed
2026-05-25 10:42:32,WKS-IT-01,sap-cloud.example-erp.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,400,allowed
2026-05-25 10:46:21,WKS-HQ-28,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,29288,allowed
2026-05-25 10:57:55,WKS-HQ-28,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,68458,allowed
2026-05-25 11:07:46,WKS-HQ-15,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,7712,allowed
2026-05-25 11:13:59,WKS-PAY-12,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,POST,9454,allowed
2026-05-25 11:14:58,WKS-HQ-22,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,7758,blocked
2026-05-25 11:20:54,WKS-HQ-22,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,1434,allowed
2026-05-25 11:22:08,WKS-IT-09,supplier-cdn.northgate.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,2861,allowed
2026-05-25 11:25:33,WKS-HQ-04,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,3403,allowed
2026-05-25 11:30:09,WKS-SEC-10,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,POST,8759,allowed
2026-05-25 11:30:28,WKS-PAY-30,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,400,allowed
2026-05-25 11:38:08,WKS-HQ-14,api.shufersal-partners.co.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,51823,allowed
2026-05-25 11:47:03,WKS-HQ-13,portal.mas.gov.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,2162,allowed
2026-05-25 11:50:15,WKS-HQ-17,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,67652,allowed
2026-05-25 11:53:21,WKS-PAY-02,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,9170,allowed
2026-05-25 11:53:53,WKS-PAY-12,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,81431,allowed
2026-05-25 12:03:53,WKS-HQ-18,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1779,allowed
2026-05-25 12:05:11,WKS-HQ-28,updates.microsoft.com,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,6069,allowed
2026-05-25 12:05:13,WKS-IT-01,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,24546,allowed
2026-05-25 12:14:19,WKS-HQ-20,cdn.jsdelivr.net,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,33156,allowed
2026-05-25 12:22:37,WKS-HQ-22,outlook.office365.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,13164,allowed
2026-05-25 12:30:30,WKS-IT-09,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,11317,allowed
2026-05-25 12:38:08,WKS-HQ-18,sap-cloud.example-erp.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,2205,allowed
2026-05-25 12:41:48,WKS-IT-08,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,15782,allowed
2026-05-25 12:44:47,WKS-HQ-05,supplier-cdn.northgate.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/126.0,GET,12714,allowed
2026-05-25 12:45:49,WKS-HQ-14,portal.mas.gov.il,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,2069,allowed
2026-05-25 12:50:09,WKS-HQ-28,api.shufersal-partners.co.il,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,GET,1688,allowed
2026-05-25 12:50:38,WKS-IT-01,updates.microsoft.com,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edg/126.0,CONNECT,3170,allowed
2026-05-25 12:59:34,WKS-HQ-16,cdn.jsdelivr.net,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_5) Safari/17.5,GET,1590,allowed
